                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9213,                 3.7393,                 4.2675,                0.00431,                      1,                0.04685,                0.01923,                  2.367,                 3.7387,                 4.1508,                 0.0964,                 0.0004,                 0.0004
                      1,                 2.9534,                 3.7004,                 4.2312,                0.00428,                      1,                0.04934,                0.02042,                 2.3532,                 3.7109,                 4.1387,               0.091897,             0.00089703,             0.00089703
                      2,                 2.8844,                 3.6095,                 4.2676,                0.00433,                      1,                0.06213,                0.02037,                 2.3383,                 3.6824,                 4.1246,               0.087391,              0.0013908,              0.0013908
                      3,                 2.9831,                  3.638,                 4.2116,                0.00433,                      1,                0.05885,                0.02088,                  2.332,                 3.6751,                 4.1171,               0.082881,              0.0018812,              0.0018812
                      4,                 2.9872,                 3.5808,                 4.2082,                0.00434,                      1,                0.06716,                0.02408,                 2.3239,                 3.6663,                 4.1078,               0.078368,              0.0023683,              0.0023683
                      5,                 2.8949,                 3.5517,                  4.213,                0.00435,                      1,                0.06427,                  0.024,                 2.3188,                 3.6639,                 4.1011,               0.073852,              0.0028522,              0.0028522
                      6,                 2.9832,                  3.501,                 4.1807,                0.00433,                      1,                0.07356,                0.02478,                 2.3106,                 3.6625,                 4.0908,               0.069333,              0.0033327,              0.0033327
                      7,                 3.0267,                 3.4773,                 4.1929,                0.00436,                      1,                0.06997,                0.02462,                  2.305,                 3.6669,                 4.0841,                0.06481,              0.0038099,              0.0038099
                      8,                  2.892,                 3.4339,                 4.1752,                0.00433,                      1,                0.11222,                0.03015,                 2.2948,                 3.6733,                 4.0737,               0.060284,              0.0042838,              0.0042838
                      9,                 2.9128,                 3.4134,                 4.1611,                0.00435,                      1,                 0.1262,                0.03333,                 2.2872,                 3.6755,                 4.0658,               0.055754,              0.0047545,              0.0047545
                     10,                 2.8632,                 3.4409,                 4.1562,                0.00432,                      1,                0.12138,                0.03638,                 2.2803,                 3.6779,                  4.058,               0.051222,              0.0052218,              0.0052218
                     11,                 2.7227,                 3.3913,                 4.1323,                0.00407,                      1,                0.12959,                0.03678,                 2.2734,                 3.6793,                  4.049,               0.046686,              0.0056858,              0.0056858
                     12,                  2.973,                 3.4249,                 4.1283,                0.00405,                      1,                0.11948,                0.03541,                 2.2703,                 3.6805,                 4.0437,               0.042147,              0.0061466,              0.0061466
                     13,                 2.9658,                 3.3851,                 4.0999,                0.00402,                      1,                0.12519,                0.03475,                 2.2634,                 3.6826,                 4.0334,               0.037604,               0.006604,               0.006604
                     14,                 2.9745,                 3.4137,                 4.1095,                0.00402,                      1,                0.11657,                0.03382,                 2.2538,                  3.684,                 4.0206,               0.033058,              0.0070581,              0.0070581
